source,target,source_type,target_type,mu_forward,mu_backward,abs_diff,rel_diff,forward_dominant
AIN,AWA,interneuron,sensory,7.123231946715549e-05,0.00014046715723653496,6.923483776937947e-05,0.3270428729590017,False
BAG,CEP,sensory,sensory,0.0010156537557297872,0.0009465947776643593,6.90589780654279e-05,0.035193795979857556,True
AWB,AIM,sensory,interneuron,2.500882763684652e-05,9.399485271239041e-05,6.898602507554389e-05,0.5796960808563612,False
ADE,RMD,sensory,motor,3.705184124059201e-05,0.00010583562766870986,6.878378642811785e-05,0.4813839786985142,False
AWC,URB,sensory,sensory,0.0001109486164476515,0.00017965427462236856,6.870565817471705e-05,0.23642447010520481,False
PVW,URY,interneuron,sensory,4.156199959339653e-06,7.274728348078346e-05,6.859108352144381e-05,0.8919101094274576,False
AVB,ADE,interneuron,sensory,8.928592309998318e-05,2.076304472442103e-05,6.852287837556215e-05,0.6226575084206819,True
RIV,URA,motor,sensory,1.4172594751927628e-05,8.265995464190225e-05,6.848735988997463e-05,0.7072754935314061,False
AVJ,AIY,interneuron,interneuron,0.000261351065975097,0.00019295027008789693,6.84007958872001e-05,0.1505625790663703,True
ADF,SMB,sensory,motor,2.6817467027787724e-05,9.514723444043218e-05,6.832976741264446e-05,0.5602416975232727,False
SAB,ADF,motor,sensory,3.12736635979928e-07,6.836555503228355e-05,6.805281839630363e-05,0.9908912649704795,False
IL2,AWB,sensory,sensory,3.412229577100285e-05,0.00010217285904375484,6.805056327275198e-05,0.49928783922258485,False
AUA,ADA,unknown,interneuron,9.378409251033989e-05,0.0001615936178961728,6.780952538583292e-05,0.2655263011218285,False
SIA,URX,motor,sensory,1.0637996842970053e-05,7.843162233791259e-05,6.779362549494254e-05,0.7611298892417899,False
DVB,SMB,interneuron,motor,0.00018946504384723443,0.00012178606115039675,6.767898269683768e-05,0.2174416728679099,True
ASE,ADF,sensory,sensory,0.00019590654874025384,0.00012831976176105363,6.758678697920022e-05,0.20845552610812892,True
AVJ,IL1,interneuron,sensory,3.9863450576721456e-05,0.00010741481297499399,6.755136239827253e-05,0.45866453679431657,False
ASG,RIR,sensory,unknown,0.00045571850973593665,0.00038825592039078534,6.74625893451513e-05,0.07993439012314964,True
ALN,URB,sensory,sensory,0.00012552947255908877,0.00019296092658311782,6.743145402402905e-05,0.21172202689136038,False
RMH,RIC,motor,interneuron,0.0004231708754665056,0.0003557766962745783,6.739417919192733e-05,0.08651952067754383,True
URA,RMD,sensory,motor,0.00030353377238816675,0.000370788339345964,6.725456695779727e-05,0.09973654402520873,False
RIA,AIB,interneuron,interneuron,4.467899517101529e-05,0.00011190382956895471,6.722483439793942e-05,0.4293241712630964,False
AVE,AIY,interneuron,interneuron,7.314913272882396e-05,5.964140488380098e-06,6.718499224044386e-05,0.8492242146721379,True
RIV,AWB,motor,sensory,6.289042123483066e-05,0.0001300665826469447,6.717616141211406e-05,0.3481403900696645,False
PVT,AIB,interneuron,interneuron,0.0012867969991723933,0.001353953162259659,6.715616308726577e-05,0.025430713410531918,False
DVA,RIB,sensory,interneuron,0.0006143946908052561,0.0005472459947929387,6.714869601231739e-05,0.05780504338760688,True
RMH,OLL,motor,unknown,8.257910330405401e-05,1.5476446474193478e-05,6.710265682986053e-05,0.6843323865744906,True
DVB,ASJ,interneuron,sensory,0.00015607893340294812,8.910971533630388e-05,6.696921806664424e-05,0.2731333244734782,True
AWC,RID,sensory,interneuron,0.0010990181768789353,0.0011657865907583386,6.676841387940322e-05,0.02948086823438279,False
AWC,ADE,sensory,sensory,0.0005542875563217377,0.0006210179362955587,6.673037997382105e-05,0.05677704623630581,False
PVT,AVK,interneuron,interneuron,6.499980513719805e-05,0.00013160428412982192,6.660447899262387e-05,0.33877446478093265,False
OLQ,SIA,sensory,motor,7.51466292830518e-05,8.662394439064072e-06,6.648423484398773e-05,0.7932815890597794,True
URA,SMB,sensory,motor,1.6146847700048266e-06,6.808413475002023e-05,6.646944998001541e-05,0.9536654289299021,False
ASH,RMH,sensory,motor,0.0008554769003311254,0.0009217705198232069,6.629361949208148e-05,0.0373012868158762,False
