source,target,source_type,target_type,mu_forward,mu_backward,abs_diff,rel_diff,forward_dominant
IL1,RIP,sensory,interneuron,0.0038199366378406183,0.006450190158665654,0.002630253520825036,0.256107207567202,False
AVH,ADL,interneuron,unknown,0.05434450676547422,0.05695430496153921,0.002609798196064987,0.023448571940923105,False
RME,SIA,motor,motor,0.010495312632805677,0.007902043326937792,0.0025932693058678853,0.14095880394152926,True
OLL,URY,unknown,sensory,0.006059774316190262,0.008634856981011685,0.002575082664821423,0.17523969096031583,False
OLQ,CEP,sensory,sensory,0.0023685726908406197,0.004774254992721501,0.002405682301880881,0.33679690660008743,False
ADL,AUA,unknown,unknown,0.017197626118112826,0.014830886470283444,0.002366739647829382,0.07389477216301825,True
ADF,AFD,sensory,sensory,0.0038554672564398832,0.006219184558818505,0.002363717302378622,0.23462024517181534,False
SMB,RMH,motor,motor,0.007084116153950313,0.0047851027552238,0.0022990133987265135,0.19369542317397043,True
RMD,ADF,motor,sensory,0.00612216910063148,0.008347815890919012,0.002225646790287532,0.15381127044748383,False
AVD,SMB,interneuron,motor,0.005182576429058478,0.0029804697903238185,0.00220210663873466,0.2697652999353916,True
ASG,IL2,sensory,sensory,0.001512420381896097,0.003694615772890577,0.0021821953909944803,0.41908588383429307,False
ADF,RMD,sensory,motor,0.006252068196554337,0.008433068807417066,0.0021810006108627282,0.14851755182271367,False
ALA,URX,interneuron,sensory,0.003001625416467758,0.005182582066011212,0.002180956649543454,0.266483544993717,False
URY,ADF,sensory,sensory,0.0069869440019203225,0.009159023988292245,0.002172079986371923,0.13452770216290735,False
AVE,OLQ,interneuron,sensory,0.05359977792457766,0.05574986153304485,0.0021500836084671904,0.019662466352567992,False
AVJ,SMB,interneuron,motor,0.011627199825806815,0.009559188462873278,0.002068011362933537,0.09761037723817417,True
RIP,URX,interneuron,sensory,0.0028287990811422894,0.004888322487376986,0.0020595234062346962,0.26687714600071455,False
IL2,ASG,sensory,sensory,0.0022201649139446653,0.004189523643486716,0.0019693587295420505,0.3072471745189651,False
RMH,AVH,motor,interneuron,0.011988827663550082,0.010029585579940044,0.0019592420836100372,0.08898198308141485,True
SIA,AIA,motor,interneuron,0.006089744244069513,0.008015029385718618,0.0019252851416491053,0.13649883213532593,False
AIA,RMF,interneuron,motor,0.0033607037145779953,0.005285284008632203,0.0019245802940542076,0.22259808056722707,False
SIA,AVF,motor,interneuron,0.0045691919051424916,0.006462073649378481,0.0018928817442359896,0.17159243585619072,False
RMH,SMB,motor,motor,0.006458782195837073,0.004620207656794796,0.001838574539042277,0.16595145829205438,True
IL2,ADL,sensory,unknown,0.004407189523503478,0.006213064472814449,0.0018058749493109708,0.17004065372946894,False
CEP,OLL,sensory,unknown,0.0015481246589198853,0.0033381211362878546,0.0017899964773679692,0.36633368761149243,False
RMD,ADL,motor,unknown,0.023317830165509805,0.02153479561674524,0.0017830345487645644,0.03975318086047628,True
